ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,CHARACTER_SETS,def,<blank>,NULL,384,max_rows=43690,16434816,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,COLLATIONS,def,<blank>,NULL,231,max_rows=72628,16704765,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,COLLATION_CHARACTER_SET_APPLICABILITY,def,<blank>,NULL,195,max_rows=86037,16357770,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,COLUMNS,def,<blank>,NULL,0,max_rows=2794,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,COLUMN_PRIVILEGES,def,<blank>,NULL,2565,max_rows=6540,16757145,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,ENGINES,def,<blank>,NULL,490,max_rows=34239,16574250,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,EVENTS,def,<blank>,NULL,0,max_rows=619,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,FILES,def,<blank>,NULL,2659,max_rows=6309,16743723,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,GLOBAL_STATUS,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,GLOBAL_VARIABLES,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,KEY_COLUMN_USAGE,def,<blank>,NULL,4637,max_rows=3618,16762755,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,OPTIMIZER_TRACE,def,<blank>,NULL,0,max_rows=578524,281474976710655,utf8_general_ci
